"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E745_00786",82.6418602230727,0.761529465262474,0.223184215861257,3.41211165997456,0.000644617023962891,0.00170153364939116
"E745_00794",166.993252854987,-0.510106013874717,0.173523825620362,-2.93968861077749,0.00328542242735729,0.00764305077777882
"E745_00815",75.0862399869853,1.31709994126725,0.252753454941512,5.21100667673181,1.87818691909326e-07,7.77522721475562e-07
"E745_00816",72.7072352590994,-1.58071627534567,0.260584721130808,-6.06603590757794,1.31105830749613e-09,6.52104747721023e-09
"E745_00819",26.398089111901,-1.6278506460575,0.459803276793184,-3.54031980243954,0.000399642442902169,0.00108830107535974
"E745_00821",38.7635868315095,-0.886705716449277,0.341696418302242,-2.595010275071,0.00945880912256263,0.0204851219502453
"E745_00822",153.472152002942,0.983593980132655,0.167639955448609,5.86730041475213,4.42947697317692e-09,2.13930898740755e-08
"E745_00834",55.7864144070188,-0.744569236886204,0.284345407919396,-2.61853793361512,0.00883074726727473,0.0192657710430069
"E745_00835",65.9153687274202,-1.25669077749338,0.265937970095324,-4.72550338352558,2.29546012253358e-06,8.44096094713727e-06
"E745_00838",90.1852343475168,0.87436255083811,0.227886694491302,3.83683019664619,0.000124632583883565,0.000365936639464299
"E745_00839",98.9799140511378,0.592102463066476,0.206409856449666,2.86857649751267,0.00412323477056185,0.00946002056653862
"E745_00844",54.8136344436197,-1.29426147927442,0.303678639019004,-4.26194441418525,2.02655857580115e-05,6.6701298309702e-05
"E745_00845",132.730499232888,-0.930765674270821,0.201666714759549,-4.61536587919622,3.92403389166103e-06,1.39115350467664e-05
"E745_00846",44.4506545350592,-1.43851874878205,0.31961326463676,-4.50081053556062,6.7694826673942e-06,2.34992718636366e-05
"E745_00847",48.6903374019419,-1.42517602835044,0.311550909503582,-4.57445632439744,4.7745819180856e-06,1.68373484042542e-05
"E745_00849",238.922022482177,0.711932880969699,0.174490387640576,4.08006934133343,4.50222684583971e-05,0.000140385225391914
"E745_00850",112.033035092789,1.79834541278271,0.210378128317196,8.54815767764254,1.25068780948252e-17,9.66473536255189e-17
"E745_00851",200.29608609454,0.851643672869841,0.152997969916028,5.5663723730273,2.60097121021518e-08,1.16737192700904e-07
"E745_00852",51.0433018432309,1.94696784652119,0.349814306737996,5.56571817967247,2.61074894260429e-08,1.16979103882068e-07
"E745_00854",49.0289628985182,1.88908471381015,0.331683834858601,5.69543799026407,1.23055605186748e-08,5.65631454185983e-08
"E745_00857",151.844589090943,-1.33130006192112,0.18453752287003,-7.21425128730459,5.42315287047515e-13,3.36235477969459e-12
"E745_00862",53.2461586188019,0.68752248241849,0.293313327510582,2.34398650839924,0.0190788615271316,0.0386800340922683
"E745_00863",206.476791042829,-0.384931812538938,0.151758350871599,-2.53647862096646,0.0111973579502481,0.0238817250362891
"E745_00864",70.5928801423914,-1.52358055204759,0.269458260394615,-5.6542358353251,1.56541150764616e-08,7.09759707378345e-08
"E745_00865",73.7324132804188,3.8572768511083,0.339750490725271,11.3532635166298,7.14452847877419e-30,8.24559001056796e-29
"E745_00867",2469.07294118103,7.16964082887741,0.354677116412301,20.2145571200114,7.28966009770277e-91,2.23381997936501e-89
"E745_00868",111.994238158407,5.93556818092373,0.45385993537976,13.0779734412055,4.40015380311532e-39,6.20677779846849e-38
"E745_00869",220.636766234373,6.70571007735784,0.408488247511277,16.4159192295311,1.47135478229103e-60,3.11319988062531e-59
"E745_00870",209.306423913199,5.41498042059832,0.289877603829751,18.6802303767441,7.17090011673065e-78,1.85607958361203e-76
"E745_00871",486.068189780746,6.02762742613246,0.227168367254982,26.5337445480111,3.9561270293468e-155,2.51119872862823e-153
"E745_00872",401.719879702553,5.72046201789758,0.230391059018208,24.8293577115138,4.32164811443591e-136,1.98646790915278e-134
"E745_00873",602.237394393163,5.53727922064967,0.182019309632598,30.4213834885241,2.8647252371013e-203,3.63683689624384e-201
"E745_00874",120.366955594984,1.02383696726431,0.189795877059837,5.3944110015705,6.87486918234903e-08,2.97056746193558e-07
"E745_00876",505.112644734335,-0.512165221832682,0.100040559935579,-5.11957572171217,3.06223798514482e-07,1.24640098754139e-06
"E745_00881",75.5696655450358,-1.10378122436118,0.245225816760054,-4.50108083620411,6.76087853339564e-06,2.34992718636366e-05
"E745_00882",293.417325001699,5.736963712816,0.267750071451166,21.4265627707305,7.555639174954e-102,2.54978911904144e-100
"E745_00883",49.2090110140623,2.33888857581704,0.325542598914449,7.18458531576596,6.74114766114961e-13,4.1601619594039e-12
"E745_00884",9.89210635826584,2.67531643626345,0.753272522301514,3.55159169763608,0.000382908543220649,0.00104593665596952
"E745_00885",1785.62989375033,3.84711942697243,0.0873613050910047,44.0368813511299,0,0
"E745_00891",3.20110139230934,5.27450669780864,1.60018144585205,3.29619288580122,0.000980047023734093,0.00249075821284565
"E745_00900",1.76160424034443,-4.16279222624088,1.81908459967907,-2.28839946584964,0.0221142687284797,0.0442617420646598
"E745_00902",161.019828062093,-0.699512319657091,0.178510477435357,-3.91860651378518,8.90623710702223e-05,0.00026678683289125
"E745_00903",628.229435926528,3.05910376208393,0.120957160607361,25.290803344947,4.03231908177071e-141,1.99077086518532e-139
"E745_00906",420.593684563707,0.492536793341546,0.124426493688213,3.95845594247589,7.54358521739959e-05,0.000228796338903155
"E745_00911",136.833116532274,-0.70944608916874,0.18901130755873,-3.75345844823755,0.000174411454294568,0.000499979502311094
"E745_00914",2.93714484453991,-4.90022413283902,1.59299961953771,-3.07609874650258,0.00209728375110228,0.00509695394752842
"E745_00915",38.1501199272686,-1.8149002195893,0.37438096204072,-4.8477364065107,1.24878175618424e-06,4.74928981738543e-06
"E745_00916",116.201322887551,2.26413059012544,0.219854133287094,10.2983307899372,7.16945165611054e-25,7.46631176374637e-24
"E745_00918",24.8168088924577,-1.4268468845567,0.470836623480547,-3.03045008268277,0.00244189547772385,0.00584914047045085
"E745_00919",5.32544798453495,2.93853436474167,1.12862013010562,2.60365227090771,0.00922362849144288,0.0200245875880999
"E745_00921",77.1642201643354,-0.754107229948252,0.239721672316702,-3.14576159368679,0.00165654978343046,0.00407789632744746
"E745_00924",27.1306215212535,1.31608174811453,0.411079448834512,3.20152649772658,0.00136701501655001,0.00340922547626036
"E745_00925",27.4907114555403,1.4182755630568,0.400121133653065,3.54461547708838,0.000393186229808706,0.00107181440559306
"E745_00926",162.133194954146,-0.597971431870054,0.186243186304864,-3.21070232814438,0.00132411017985801,0.00330841400140718
"E745_00929",213.752215754855,2.31398481269345,0.171109586465896,13.5234083635323,1.13779622608192e-41,1.74331306823816e-40
"E745_00936",16.4311618572305,3.02316189725512,0.643013424268938,4.70155331623479,2.58189826913497e-06,9.41633486390402e-06
"E745_00940",12.6171146697674,1.87307185163181,0.633966568614623,2.95452780061406,0.0031314793827221,0.00732326669678695
"E745_00941",225.25012710576,2.72586504576909,0.167530403858801,16.2708677528559,1.58889993449959e-59,3.28372653129915e-58
"E745_00944",43.2631741734725,-1.29464041830714,0.326234740416809,-3.96843210705599,7.23470623927995e-05,0.000220431163816232
"E745_00945",57.1613960008606,1.03151360563112,0.293032534311988,3.52013338059207,0.000431329833639624,0.00116981214291275
